"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.efax.com/","text/html; charset=UTF-8","200","OK","Indexable","","Fax Online with eFax | Secure, Scalable, Enterprise Cloud Fax","61","533","eFax provides secure, scalable, enterprise-grade cloud faxing with HIPAA, HITRUST, and SOC compliance. Send and receive faxes from any device—computer, tablet, or smartphone.","174","1146","","0","Smarter fax workflows","21","Smart products by design","24","Our AI-powered workflows let you do more with less","50","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/","","","","","","409890","52206","52206","19.999","","1685","344","4.898","40.596","Hard","4.900","1","0","","784","279","0","100.000","197","69","0","49","20","0","","","","","530766f374dfd966b2a29c6d05b90fe3","1.127","","","","","en-US","1.1","","","","","","https://www.efax.com/","2025-11-17 12:49:58"
"https://www.efax.com/products/corporate","text/html; charset=UTF-8","200","OK","Indexable","","eFax Corporate | Enterprise Cloud Fax Solutions","47","418","Learn how eFax Corporate enhances businesses with secure enterprise cloud faxing. Boost efficiency, ensure compliance, and streamline workflows via API.","152","992","","0","The Enterprise Cloud Fax Solution Businesses Trust","50","Cloud Faxing, Reimagined for Enterprise","39","Faxing that Scales with Your Business Needs","43","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/products/corporate","","","","","","577025","76055","76055","29.135","","2568","614","4.182","55.693","Fairly Hard","4.405","2","1","","62","38","0","13.620","194","68","0","55","26","0","","","","","a9f3ed08322ff3a00a6fa7f0f66ed87c","0.625","","","","","en-US","1.1","","","","","","https://www.efax.com/products/corporate","2025-11-17 12:50:03"
"https://www.efax.com/features/online-storage","text/html; charset=UTF-8","200","OK","Indexable","","Fax Storage from eFax","21","200","eFax unlimited lifetime storage means that every fax you send or receive is automatically saved and can be easily retrieved from anywhere, at any time.","151","960","","0","Store every fax and access them 24/7 with cloud storage","55","Get free online storage! Store every fax online for your account and get easy access 24/7","89","Safe Cloud Storage From eFax","28","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/features/online-storage","","","","","","452110","62544","62544","23.959","","1424","234","6.085","76.551","Fairly Easy","3.640","2","1","","343","279","0","100.000","166","67","0","43","15","0","","","","","d28f601ac9cd1d23eab1d92433277669","1.095","","","","","en-US","1.1","","","","","","https://www.efax.com/features/online-storage","2025-11-17 12:50:03"
"https://www.efax.com/features/efax-mobile-app","text/html; charset=UTF-8","200","OK","Indexable","","Free Fax App for iOS and Android | eFax","39","349","Stay connected & productive with the eFax Mobile App, the free fax app at your fingertips. Send, receive, and manage faxes effortlessly anytime, anywhere. Download today!","170","1094","","0","Free Fax App: On-the-Go Faxing Solution for Modern Workflows","60","How to Send a Fax From Your Phone for Free?","43","Use the eFax App To Receive, Sign and Send Faxes on the Go","58","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/features/efax-mobile-app","","","","","","500015","69993","69993","26.813","","2379","369","6.447","76.076","Fairly Easy","4.343","2","1","","344","279","0","100.000","179","76","0","45","18","0","","","","","5878b4a91d7ea36566179125dcb28f6a","1.211","","","","","en-US","1.1","","","","","","https://www.efax.com/features/efax-mobile-app","2025-11-17 12:50:03"
"https://www.efax.com/industry/healthcare","text/html; charset=UTF-8","200","OK","Indexable","","Online eFax Solutions for Healthcare","36","322","Healthcare fax workflows are complex, especially with HIPAA compliance and EHR integration. But eFax makes them simple. Learn how here.","135","898","","0","Ensure Safe and Compliant Healthcare Workflows With eFax®","57","Trusted by Experts","18","Protect","7","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/industry/healthcare","","","","","","508715","71032","71032","27.211","","2312","513","4.507","60.468","Normal","4.612","2","1","","857","279","0","100.000","197","74","0","47","17","0","","","","","97bb96491bb19a5d1d59f713eaab977","1.121","","","","","en-US","1.1","","","","","","https://www.efax.com/industry/healthcare","2025-11-17 12:50:03"
"https://www.efax.com/blog","text/html; charset=UTF-8","200","OK","Indexable","","Fax Solutions Blog - eFax","25","222","Discover expert insights on digital faxing, EHR interoperability, and HIPAA-compliant communication transforming healthcare on the eFax blog.","141","902","","0","Faxing in the Digital Age: Insights in Interoperability and Data Transformation","79","The Time to Bridge Tech Inequities in Mental Health Care is Now","63","What FedRAMP High Really Means for Federal Agencies","51","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/blog","","","","","","428749","60858","60858","23.314","","617","136","4.537","78.415","Fairly Easy","2.766","2","0","","1102","279","0","100.000","167","70","0","43","15","0","","","","","cd5cb8f23fb0775a5fdd20dd641db775","1.086","","","","","en-US","1.1","","","","","","https://www.efax.com/blog","2025-11-17 12:50:03"
"https://www.efax.com/features/compliance","text/html; charset=UTF-8","200","OK","Indexable","","HIPAA, HITRUST, and More | eFax Compliance","42","408","Learn how eFax ensures the highest standards of data security and regulatory compliance to HIPAA, HITRUST, and BAA.","115","764","","0","Comprehensive Compliance Across Multiple Industry Standards","59","HIPAA + BAA Compliance","22","The eFax® Commitment to Compliance","34","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/features/compliance","","","","","","467558","66913","66913","25.633","","1820","310","5.871","52.315","Fairly Hard","4.334","2","1","","601","278","0","99.640","176","74","0","42","15","0","","","","","eecae59a3cf56e7fda139fc16fe6809c","0.601","","","","","en-US","1.1","","","","","","https://www.efax.com/features/compliance","2025-11-17 12:50:06"
"https://www.efax.com/contact/support","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","How to Get in Contact with eFax: Support Information","52","471","Get in touch with eFax Support for consumer or enterprise assistance. Call, email, or visit our Help Center for quick answers and service help.","143","888","","0","Get in Touch with eFax Support","30","Trusted by Experts","18","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/contact","","","","","","420536","59370","59370","22.744","","335","82","4.085","84.248","Easy","3.157","2","1","","1123","279","0","100.000","168","69","0","46","18","0","","","","","e01d7c28b3a88c6a3be879a88a42e303","0.592","","","","","en-US","1.1","","","","","","https://www.efax.com/contact/support","2025-11-17 12:50:07"
"https://www.efax.com/features","text/html; charset=UTF-8","200","OK","Indexable","","Our Features - eFax","19","171","For over 20 years eFax® has provided premium online fax features that are trusted every day by millions of businesses. Read on to learn more.","141","902","","0","Features Index","14","Core Features","13","Compliance Features","19","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/features","","","","","","481486","63334","63334","24.262","","1640","289","5.675","59.112","Fairly Hard","3.879","2","0","","886","279","0","100.000","219","72","0","46","15","0","","","","","be5a886a16690f8b73adc31b4a4c6a31","0.607","","","","","en-US","1.1","","","","","","https://www.efax.com/features","2025-11-17 12:50:08"
"https://www.efax.com/hipaa-compliance","text/html; charset=UTF-8","200","OK","Indexable","","HIPAA Compliant Healthcare Fax & Data Solutions | eFax","54","502","Secure PHI across the care continuum with HIPAA compliant solutions from eFax . Encrypt data, integrate with EHRs, automate workflows, and meet audit & BAA standards.","166","1091","","0","Solutions Built for Healthcare","30","The HIPAA Compliance Challenge","30","Why eFax?","9","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.efax.com/hipaa-compliance","","","","","","484117","66926","66926","25.638","","2503","543","4.610","45.327","Hard","5.395","2","0","","318","279","0","100.000","183","68","0","44","16","0","","","","","5f05f9ade1532b058b03b38aa3d27087","0.689","","","","","en-US","1.1","","","","","","https://www.efax.com/hipaa-compliance","2025-11-17 12:50:08"
